date,product_id,region,demand,price,category,is_weekend,is_holiday,month,day_of_week
2022-01-01,PROD_0001,Region_1,23.5,144.61408869039258,Food,True,True,1,5
2022-01-01,PROD_0001,Region_2,80.52,138.7740675036205,Food,True,True,1,5
2022-01-01,PROD_0001,Region_3,56.75,131.71680526424194,Food,True,True,1,5
2022-01-01,PROD_0001,Region_4,54.69,142.1830740627478,Food,True,True,1,5
2022-01-01,PROD_0001,Region_5,32.39,140.15963123114034,Food,True,True,1,5
2022-01-01,PROD_0002,Region_1,8.52,519.8024105323925,Books,True,True,1,5
2022-01-01,PROD_0002,Region_2,8.09,430.66843868298497,Books,True,True,1,5
2022-01-01,PROD_0002,Region_3,6.18,430.4989667958918,Books,True,True,1,5
2022-01-01,PROD_0002,Region_4,12.88,511.81189115415833,Books,True,True,1,5
2022-01-01,PROD_0002,Region_5,28.56,456.66725835055837,Books,True,True,1,5
2022-01-01,PROD_0003,Region_1,29.69,136.13363181611993,Clothing,True,True,1,5
2022-01-01,PROD_0003,Region_2,44.0,124.0813942921697,Clothing,True,True,1,5
2022-01-01,PROD_0003,Region_3,67.65,122.29669725071814,Clothing,True,True,1,5
2022-01-01,PROD_0003,Region_4,95.04,128.42354126026268,Clothing,True,True,1,5
2022-01-01,PROD_0003,Region_5,83.83,115.79931863485115,Clothing,True,True,1,5
2022-01-01,PROD_0004,Region_1,41.5,139.0753662185851,Electronics,True,True,1,5
2022-01-01,PROD_0004,Region_2,11.2,132.46520647782333,Electronics,True,True,1,5
2022-01-01,PROD_0004,Region_3,17.84,154.03863315712525,Electronics,True,True,1,5
2022-01-01,PROD_0004,Region_4,22.55,148.23200364075558,Electronics,True,True,1,5
2022-01-01,PROD_0004,Region_5,10.56,135.13575243666833,Electronics,True,True,1,5
2022-01-01,PROD_0005,Region_1,21.8,377.5883749995658,Books,True,True,1,5
2022-01-01,PROD_0005,Region_2,23.55,445.75755748812645,Books,True,True,1,5
2022-01-01,PROD_0005,Region_3,19.99,395.2089334590447,Books,True,True,1,5
2022-01-01,PROD_0005,Region_4,24.34,408.1717322721004,Books,True,True,1,5
2022-01-01,PROD_0005,Region_5,9.7,442.7692204633236,Books,True,True,1,5
2022-01-01,PROD_0006,Region_1,141.72,10.458562278018148,Food,True,True,1,5
2022-01-01,PROD_0006,Region_2,23.07,10.413791058517793,Food,True,True,1,5
2022-01-01,PROD_0006,Region_3,195.34,9.992894967232514,Food,True,True,1,5
2022-01-01,PROD_0006,Region_4,166.14,11.352102551835882,Food,True,True,1,5
2022-01-01,PROD_0006,Region_5,85.56,10.79521672363224,Food,True,True,1,5
2022-01-01,PROD_0007,Region_1,31.99,244.1762411594564,Home,True,True,1,5
2022-01-01,PROD_0007,Region_2,13.57,276.1298559844112,Home,True,True,1,5
2022-01-01,PROD_0007,Region_3,36.19,278.2878081090403,Home,True,True,1,5
2022-01-01,PROD_0007,Region_4,48.46,271.80269110645594,Home,True,True,1,5
2022-01-01,PROD_0007,Region_5,10.73,288.22690317505453,Home,True,True,1,5
2022-01-01,PROD_0008,Region_1,16.77,80.70184586186996,Electronics,True,True,1,5
2022-01-01,PROD_0008,Region_2,27.29,74.19526218600431,Electronics,True,True,1,5
2022-01-01,PROD_0008,Region_3,66.99,77.96015058169903,Electronics,True,True,1,5
2022-01-01,PROD_0008,Region_4,36.32,75.24427174147213,Electronics,True,True,1,5
2022-01-01,PROD_0008,Region_5,20.2,75.63781324037176,Electronics,True,True,1,5
2022-01-01,PROD_0009,Region_1,27.79,299.4936296554753,Sports,True,True,1,5
2022-01-01,PROD_0009,Region_2,28.14,280.3797481283704,Sports,True,True,1,5
2022-01-01,PROD_0009,Region_3,19.68,286.94064134195355,Sports,True,True,1,5
2022-01-01,PROD_0009,Region_4,8.15,280.3315009217906,Sports,True,True,1,5
2022-01-01,PROD_0009,Region_5,57.56,261.5240520860667,Sports,True,True,1,5
2022-01-01,PROD_0010,Region_1,17.85,79.24431622447294,Sports,True,True,1,5
2022-01-01,PROD_0010,Region_2,28.55,79.45606080226571,Sports,True,True,1,5
2022-01-01,PROD_0010,Region_3,99.87,76.85608117444337,Sports,True,True,1,5
2022-01-01,PROD_0010,Region_4,76.95,77.3425214390921,Sports,True,True,1,5
2022-01-01,PROD_0010,Region_5,44.79,73.43388721761568,Sports,True,True,1,5
2022-01-01,PROD_0011,Region_1,14.82,370.8224513362929,Home,True,True,1,5
2022-01-01,PROD_0011,Region_2,31.96,355.4312744174602,Home,True,True,1,5
2022-01-01,PROD_0011,Region_3,37.15,320.4750530284475,Home,True,True,1,5
2022-01-01,PROD_0011,Region_4,31.61,314.1682745212629,Home,True,True,1,5
2022-01-01,PROD_0011,Region_5,22.4,315.7960439919314,Home,True,True,1,5
2022-01-01,PROD_0012,Region_1,14.7,133.8571965171049,Food,True,True,1,5
2022-01-01,PROD_0012,Region_2,39.46,134.7128665784692,Food,True,True,1,5
2022-01-01,PROD_0012,Region_3,58.01,128.90766804625045,Food,True,True,1,5
2022-01-01,PROD_0012,Region_4,36.37,140.13715639764206,Food,True,True,1,5
2022-01-01,PROD_0012,Region_5,103.48,134.61882602272672,Food,True,True,1,5
2022-01-01,PROD_0013,Region_1,80.7,37.37884790324105,Electronics,True,True,1,5
