product_id,category,base_price,seasonal_factor
PROD_0001,Electronics,101.41,1.153981008040286
PROD_0002,Home,18.74,0.935443536914439
PROD_0003,Clothing,470.46,0.9646472154535962
PROD_0004,Electronics,309.97,1.051105459499214
PROD_0005,Books,160.17,1.1651203279768012
PROD_0006,Clothing,313.19,1.1917109935612733
PROD_0007,Electronics,339.12,1.0181341845037866
PROD_0008,Books,395.1,1.0233445140021307
PROD_0009,Food,22.63,0.9217577722350875
PROD_0010,Food,250.96,0.8461274713596407
PROD_0011,Food,45.82,0.9168473743652423
PROD_0012,Sports,299.8,1.0391600363371352
PROD_0013,Home,341.29,0.8073665011311019
PROD_0014,Sports,210.23,0.9041004532147353
PROD_0015,Home,476.55,1.095951452584262
PROD_0016,Electronics,209.82,1.0957569266000629
PROD_0017,Electronics,28.39,0.8917231060036951
PROD_0018,Books,201.51,0.9331738147746433
PROD_0019,Clothing,391.31,0.8493953555777483
PROD_0020,Sports,102.12,1.1198374880973565
PROD_0021,Food,13.06,1.1344997639804897
PROD_0022,Food,254.45,0.8338076545499921
PROD_0023,Books,487.53,1.0799966747956025
PROD_0024,Home,164.06,1.009948748077621
PROD_0025,Food,176.88,0.8292773757962293
PROD_0026,Food,136.34,0.8710852979341456
PROD_0027,Books,228.49,0.8722714465345949
PROD_0028,Books,300.01,0.9067197254666332
PROD_0029,Home,26.41,0.9957429901961596
PROD_0030,Food,398.72,0.8005517870485533
PROD_0031,Clothing,458.09,0.9357430088203365
PROD_0032,Electronics,280.61,1.080031367177508
PROD_0033,Books,45.16,1.1223661631938926
PROD_0034,Home,220.23,0.9362618484746652
PROD_0035,Clothing,232.86,1.1594146016582014
PROD_0036,Electronics,389.67,0.8171298361906786
PROD_0037,Home,357.59,1.0799632978085478
PROD_0038,Home,86.13,0.8252427046726885
PROD_0039,Food,387.95,1.048161918787849
PROD_0040,Books,203.67,1.0054081666500483
PROD_0041,Books,369.49,1.0021517977446652
PROD_0042,Electronics,255.85,0.9937385814940309
PROD_0043,Food,137.82,1.0637009290121238
PROD_0044,Clothing,61.68,0.8228398743730969
PROD_0045,Home,447.37,1.0927544628454784
PROD_0046,Food,159.34,0.8486247556401163
PROD_0047,Home,298.63,0.9374184217855299
PROD_0048,Books,284.51,1.0731905939765352
PROD_0049,Sports,338.05,1.0180422357150418
PROD_0050,Books,129.63,1.1573653263049208
